"ID","NAME"
"gulfstream-iv-v","Gulfstream IV/V"
"raytheon-125","Raytheon (BAe) 125"
"hawker-800","Raytheon (BAe) Hawker 800"
"starcraft-sk700","Starcraft SK-700"
"c401-402-421","Cessna 401/402/421 Golden Eagle"
"sr20","Cirrus Design SR-20"
"extra300","Extra 300"
"rf6-180","Fournier/Sportavia RF6-180 Sportsman"
"g115","Grob G115"
"g115t-acro","Grob G115T Acro"
"gf200","Grob GF 200"
"aa1c","Gulfstream AA-1C"
"aa5a-cheetah","Gulfstream AA-5A Cheetah"
"la250-renegade","Lake La-250 Renegade"
"falco-f8","Laverda Falco F8"
"pa18-supercub","Piper PA-18 Super Cub"
"pa23-aztec","Piper PA-23 Aztec"
"pa28-cherokee","Piper PA-28 Cherokee"
"pa30-twin-comanche","Piper PA-30 Twin Comanche"
"pa31-navajo","Piper PA-31 Navajo"
"pa31t-cheyenne-ii","Piper PA-31T Cheyenne II"
"pa32-saratoga","Piper PA-32 Saratoga"
"pa34-seneca","Piper PA-34 Seneca"
"pa42-cheyenne-iii","Piper PA-42 Cheyenne III"
"pa44-seminole","Piper PA-44 Seminole"
"pa46-malibu","Piper PA-46 Malibu Mirage"
"pa28-arrow","Piper PA-28 Arrow"
"b58-baron","Raytheon (Beechcraft) B58 Baron"
"b60-duke","Raytheon (Beechcraft) B60 Duke"
"b76-duchess","Raytheon (Beechcraft) B76 Duchess"
"f33a-bonanza","Raytheon (Beechcraft) F33A Bonanza"
"v35b-bonanza","Raytheon (Beechcraft) V35B Bonanza"
"sierra-200","Raytheon (Beechcraft) Sierra 200"
"atl-club","Robin ATL Club"
"hr100","Robin HR100"
"hr200","Robin HR200"
"dr400","Robin DR400"
"r3000","Robin R3000"
"tb9-tampico","Socata TB9 Tampico"
"hansa-3","TAAL Hansa 3"
"a129-mangusta","Agusta A 129 Mangusta"
"as61","Agusta/Sikorsky AS-61"
"cobra","Bell AH-1 Cobra/SuperCobra"
"osprey","Bell/Boeing V-22 Osprey"
"defender","Boeing (McDonnell Douglas) MD-500 Defender"
"md520","Boeing (McDonnell Douglas) Model 520"
"eh101-utility","EHI EH-101 Merlin Utility"
"sa330-puma","Eurocopter SA 330 Puma"
"as332-super-puma","Eurocopter AS 332 Super Puma"
"as550-ecureuil","Eurocopter AS 550/555 Ecureuil"
"as365-dauphin-2","Eurocopter AS 365 Dauphin 2"
"sa315b-lama","Eurocopter (Aerospatiale) SA 315B Lama II"
"sa316-alouette-iii","Eurocopter (Aerospatiale) SA 316/319 Alouette III"
"sa341-gazelle","Eurocopter (Aerospatiale) SA 341 Gazelle"
"westland-lynx","GKN Westland Lynx"
"westland-sea-king","GKN Westland Sea King"
"westland-wasp","GKN Westland Wasp"
"westland-wessex","GKN Westland Wessex"
"hal-alh","HAL Advanced Light Helicopter"
"hiller-uh12e","Hiller UH-12E"
